"Dist Code","Year","State Code","State Name","Dist Name","RICE AREA (1000 ha)","RICE PRODUCTION (1000 tons)","RICE YIELD (Kg per ha)"
"83","1966","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","342.0","400.0","1169.59"
"83","1967","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","342.0","429.0","1254.39"
"83","1968","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","250.6","232.0","925.78"
"83","1969","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","311.1","505.3","1624.24"
"83","1970","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","329.0","579.1","1760.18"
"83","1971","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","327.1","491.5","1502.6"
"83","1972","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","326.4","564.9","1730.7"
"83","1973","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","304.7","664.3","2180.18"
"83","1974","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","253.8","414.3","1632.39"
"83","1975","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","342.5","750.0","2189.78"
"83","1976","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","357.9","753.4","2105.06"
"83","1977","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","369.1","745.3","2019.24"
"83","1978","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","366.5","617.6","1685.13"
"83","1979","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","353.2","626.1","1772.65"
"83","1980","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","266.8","433.8","1625.94"
"83","1981","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","286.0","514.2","1797.9"
"83","1982","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","188.0","268.0","1425.53"
"83","1983","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","272.2","508.3","1867.38"
"83","1984","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","321.0","581.0","1809.97"
"83","1985","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","326.3","793.8","2432.73"
"83","1986","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","222.0","597.0","2689.19"
"83","1987","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","238.0","589.0","2474.79"
"83","1988","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","232.5","682.9","2937.2"
"83","1989","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","256.0","807.4","3153.91"
"83","1990","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","231.96","743.65","3205.94"
"83","1991","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","264.41","894.59","3383.34"
"83","1992","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","237.07","729.92","3078.92"
"83","1993","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","290.0","883.0","3044.83"
"83","1994","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","260.71","850.76","3263.24"
"83","1995","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","252.33","765.19","3032.5"
"83","1996","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","262.45","778.75","2967.23"
"83","1997","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","266.59","940.47","3527.78"
"83","1998","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","270.01","993.57","3679.75"
"83","1999","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","255.87","916.25","3580.92"
"83","2000","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","225.92","764.8","3385.27"
"83","2001","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","229.58","800.55","3487.02"
"83","2002","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","185.18","557.61","3011.18"
"83","2003","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","172.06","491.18","2854.7"
"83","2004","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","168.4","507.0","3010.69"
"83","2005","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","211.71","565.46","2670.92"
"83","2006","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","192.78","713.6","3701.63"
"83","2007","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","170.07","631.14","3711.06"
"83","2008","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","173.11","645.07","3726.36"
"83","2009","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","171.96","587.72","3417.77"
"83","2010","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","178.96","628.84","3513.86"
"83","2011","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","169.64","708.45","4176.2"
"83","2012","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","156.12","645.34","4133.62"
"83","2013","11","Tamil Nadu","Chengalpattu MGR / Kanchipuram","181.39","843.36","4649.43"
